Year,Adjusted,Prelim,Period,Labor Force,No.of Employed,No.of Unemployed,Unemployment Rate %
2015,Not Adj,Not Prelim,Annual,541400,521600,19800,3.7
2015,Not Adj,Not Prelim,Jan,534200,511900,22300,4.2
2015,Not Adj,Not Prelim,Feb,536800,515700,21100,3.9
2015,Not Adj,Not Prelim,Mar,538200,517200,20900,3.9
2015,Not Adj,Not Prelim,Apr,535400,516100,19200,3.6
2015,Not Adj,Not Prelim,May,538800,519500,19300,3.6
2015,Not Adj,Not Prelim,Jun,538700,518100,20600,3.8
2015,Not Adj,Not Prelim,Jul,545900,524600,21300,3.9
2015,Not Adj,Not Prelim,Aug,545500,525500,20000,3.7
2015,Not Adj,Not Prelim,Sep,544900,526500,18400,3.4
2015,Not Adj,Not Prelim,Oct,545600,526700,18900,3.5
2015,Not Adj,Not Prelim,Nov,545800,527500,18400,3.4
2015,Not Adj,Not Prelim,Dec,547200,529500,17700,3.2
2014,Not Adj,Not Prelim,Annual,527300,504000,23300,4.4
2014,Not Adj,Not Prelim,Jan,518100,492100,25900,5
2014,Not Adj,Not Prelim,Feb,522400,496600,25900,4.9
2014,Not Adj,Not Prelim,Mar,524400,498400,26000,5
2014,Not Adj,Not Prelim,Apr,519400,497500,21900,4.2
2014,Not Adj,Not Prelim,May,522800,500500,22300,4.3
2014,Not Adj,Not Prelim,Jun,523600,499900,23700,4.5
2014,Not Adj,Not Prelim,Jul,531700,506600,25100,4.7
2014,Not Adj,Not Prelim,Aug,530600,506200,24400,4.6
2014,Not Adj,Not Prelim,Sep,532000,509800,22200,4.2
2014,Not Adj,Not Prelim,Oct,534500,512800,21800,4.1
2014,Not Adj,Not Prelim,Nov,534200,512800,21400,4
2014,Not Adj,Not Prelim,Dec,534100,514600,19500,3.7
2013,Not Adj,Not Prelim,Annual,514200,485800,28400,5.5
2013,Not Adj,Not Prelim,Jan,510500,477600,33000,6.5
2013,Not Adj,Not Prelim,Feb,512400,481600,30700,6
2013,Not Adj,Not Prelim,Mar,511800,482300,29600,5.8
2013,Not Adj,Not Prelim,Apr,509800,482800,27000,5.3
2013,Not Adj,Not Prelim,May,512200,484700,27500,5.4
2013,Not Adj,Not Prelim,Jun,512900,482600,30300,5.9
2013,Not Adj,Not Prelim,Jul,518300,488300,30000,5.8
2013,Not Adj,Not Prelim,Aug,516200,487500,28600,5.5
2013,Not Adj,Not Prelim,Sep,517600,490200,27400,5.3
2013,Not Adj,Not Prelim,Oct,513700,486500,27200,5.3
2013,Not Adj,Not Prelim,Nov,517500,491700,25800,5
2013,Not Adj,Not Prelim,Dec,517900,493800,24100,4.6
2012,Not Adj,Not Prelim,Annual,508000,473000,35000,6.9
2012,Not Adj,Not Prelim,Jan,498100,459800,38300,7.7
2012,Not Adj,Not Prelim,Feb,502500,464500,38000,7.6
2012,Not Adj,Not Prelim,Mar,503500,466200,37300,7.4
2012,Not Adj,Not Prelim,Apr,503000,468700,34300,6.8
2012,Not Adj,Not Prelim,May,504600,470000,34600,6.9
2012,Not Adj,Not Prelim,Jun,506000,469100,36900,7.3
2012,Not Adj,Not Prelim,Jul,513000,475500,37500,7.3
2012,Not Adj,Not Prelim,Aug,511100,475400,35700,7
2012,Not Adj,Not Prelim,Sep,513700,481000,32700,6.4
2012,Not Adj,Not Prelim,Oct,513900,481400,32500,6.3
2012,Not Adj,Not Prelim,Nov,512600,481300,31300,6.1
2012,Not Adj,Not Prelim,Dec,514200,483400,30800,6
2011,Not Adj,Not Prelim,Annual,493400,453100,40400,8.2
2011,Not Adj,Not Prelim,Jan,486300,442800,43400,8.9
2011,Not Adj,Not Prelim,Feb,487500,445500,42000,8.6
2011,Not Adj,Not Prelim,Mar,487900,446300,41600,8.5
2011,Not Adj,Not Prelim,Apr,487200,448100,39100,8
2011,Not Adj,Not Prelim,May,488700,449900,38800,7.9
2011,Not Adj,Not Prelim,Jun,488900,446900,42000,8.6
2011,Not Adj,Not Prelim,Jul,495800,453800,42000,8.5
2011,Not Adj,Not Prelim,Aug,497200,455600,41600,8.4
2011,Not Adj,Not Prelim,Sep,500000,459900,40100,8
2011,Not Adj,Not Prelim,Oct,500200,461100,39100,7.8
2011,Not Adj,Not Prelim,Nov,500300,462400,37900,7.6
2011,Not Adj,Not Prelim,Dec,501300,464500,36800,7.3
2010,Not Adj,Not Prelim,Annual,485800,441600,44200,9.1
2010,Not Adj,Not Prelim,Jan,482800,435900,46800,9.7
2010,Not Adj,Not Prelim,Feb,483600,437900,45700,9.4
2010,Not Adj,Not Prelim,Mar,485000,438400,46500,9.6
2010,Not Adj,Not Prelim,Apr,486200,442500,43700,9
2010,Not Adj,Not Prelim,May,483200,441300,42000,8.7
2010,Not Adj,Not Prelim,Jun,483000,438800,44100,9.1
2010,Not Adj,Not Prelim,Jul,490300,445500,44900,9.2
2010,Not Adj,Not Prelim,Aug,489400,444400,45000,9.2
2010,Not Adj,Not Prelim,Sep,488500,445300,43200,8.8
2010,Not Adj,Not Prelim,Oct,486400,443500,42900,8.8
2010,Not Adj,Not Prelim,Nov,485500,441400,44100,9.1
2010,Not Adj,Not Prelim,Dec,485400,444000,41400,8.5
2009,Not Adj,Not Prelim,Annual,461300,419500,41800,9.1
2009,Not Adj,Not Prelim,Jan,460300,424200,36100,7.9
2009,Not Adj,Not Prelim,Feb,462900,425000,37900,8.2
2009,Not Adj,Not Prelim,Mar,462900,422600,40400,8.7
2009,Not Adj,Not Prelim,Apr,460200,421200,39000,8.5
2009,Not Adj,Not Prelim,May,457900,417600,40400,8.8
2009,Not Adj,Not Prelim,Jun,460000,415600,44400,9.7
2009,Not Adj,Not Prelim,Jul,466700,421600,45100,9.7
2009,Not Adj,Not Prelim,Aug,464400,419000,45300,9.8
2009,Not Adj,Not Prelim,Sep,460700,417000,43800,9.5
2009,Not Adj,Not Prelim,Oct,461000,417100,43900,9.5
2009,Not Adj,Not Prelim,Nov,460500,417700,42800,9.3
